Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes,,
04/09/2014,Shakhlevich,ENG,,,10.1007/s10107-014-0814-9,Shakhlevich,Springer ,Mathematical Programming,0025-5610,Journal Article/Review (Hybrid journal),Decomposition Algorithms for Submodular Optimization with Applications to Parallel Machine Scheduling with Controllable Processing Times,17/09/2014,RCUK,,,EPSRC,,,EP/J019755/1,,,28/10/2014,2200.00,,,EUR,"£2,091.91","£1,743.26",£348.65,,,£0.00,"£2,091.91",CC-BY,Yes,Yes,,,
21/05/2014,Turnbull,MAPS,,,10.1002/ange.201404397,Turnbull,Wiley,Angewandte Chemie,0044-8249,Journal Article/Review (Hybrid journal),A Protein-Based Pentavalent Inhibitor of the Cholera Toxin B-Subunit,02/07/2014,RCUK,,,EPSRC,,,EP/G043302/1,,,23/09/2014,2242.00,,,EUR,£0.00,£0.00,£0.00,"£1,808.38",,£0.00,"£1,808.38",CC-BY,Yes,Yes,,,
28/08/2014,Reddington,ENV,,,10.1088/1748-9326/9/9/094006,Reddington,IOP,Environmental Research Letters,1748-9326,Journal Article/Review (Full OA journal),Contribution of vegetation and peat fires to particulate air pollution in Southeast Asia,26/09/2014,RCUK,,,NERC,,,NE/J009822/1,,,12/11/2014,1440.00,,,GBP,"£1,440.00","£1,200.00",£240.00,,,£0.00,"£1,440.00",CC-BY,Yes,Yes,,,
02/08/2014,Gamper,FBS,,,10.1016/j.pain.2014.08.025,Gamper,Elsevier,PAIN,0304-3959,Journal Article/Review (Hybrid journal),Control of Somatic Membrane Potential in Nociceptive Neurons and its Implications for Peripheral Nociceptive Transmission.,26/08/2014,RCUK,,,MRC,MRC,,G1002183/1,MR/K021303/1,,07/10/2014,2191.38,,,EUR,"£2,053.62","£1,711.35",£342.27,,,£0.00,"£2,053.62",CC-BY,Yes,Yes,,,
22/08/2014,Radford,FBS,,,10.1074/jbc.M114.595066,Radford,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,0021-9258,Journal Article/Review (Hybrid journal),Distinguishing Closely Related Amyloid Precursors Using an RNA Aptamer*,06/08/2014,RCUK,,,MRC,,,900958,,,07/10/2014,2540.00,,,USD,"£1,882.87","£1,569.06",£313.81,,,£0.00,"£1,882.87",CC-BY,Yes,Yes,,,
22/08/2014,"Evans, C.",ENV,,,10.1016/j.ecoser.2014.06.013,Holden ,Elsevier,Ecosystem Services,2212-0416,Journal Article/Review (Hybrid journal),Relationships between anthropogenic pressures and ecosystem functions in UK blanket bogs: Linking process understanding to ecosystem service valuation. ,21/08/2014,RCUK,,,NERC,,,NE/I015086/1  ,,,07/10/2014,1826.15,,,EUR,"£1,711.34","£1,426.12",£285.22,,,£0.00,"£1,711.34",CC-BY,Yes,Yes,,,
01/05/2014,"Johnson, C.",FMH,,,10.3233/PGE-14090,Hartill/ Szymanska,IOS Press,Journal of Pediatric Genetics,2146-4596,Journal Article/Review (Hybrid journal),“Unraveling the genetics of Joubert and Meckel-Gruber syndromes”,05/11/2014,RCUK,,,MRC,,,MR/K011154/1 ,,,28/10/2014,900.00,,,EUR,£855.78,£713.15,£142.63,,,£0.00,£855.78,CC-BY-NC,No,No,,,
10/09/2014,Borman,ENG,,,10.1016/j.compchemeng.2014.08.011,Borman,Elsevier,Computers and Chemical Engineering,0098-1354,Journal Article/Review (Hybrid journal),Moving Boundary Models for the Growth of Crystalline Deposits from Undetected Leakages of Industrial Process Liquors, 16/09/2014,RCUK,,,EPSRC,,,Case Studentship,,,21/10/2014,1826.15,,,EUR,"£1,711.34","£1,426.12",£285.22,,,£0.00,"£1,711.34",CC-BY,Yes,Yes,,,
09/09/2014,"Evans, S.",MAPS,,,10.1021/nl503024v,Evans,American Chemical Society,Nano Letters,1530-6984,Journal Article/Review (Hybrid journal),Diffusion in low dimensional lipid membranes,28/08/2014,RCUK,,,EPSRC,,,EP/I000623/1 ,EP/J017566,,30/09/2014,4000.00,,,USD,"£2,954.03","£2,461.69",£492.34,,,£0.00,"£2,954.03",CC-BY,Yes,Yes,,,
15/08/2014,Parker,ENV,,,10.1175/JAS-D-13-0384.1,Garcia-Carreras,American Meteorological Society,Journal of the Atmospheric Sciences,0022-4928,Journal Article/Review (Hybrid journal),The turbulent structure and diurnal growth of the Saharan atmospheric boundary layer,01/02/2015,RCUK,,,NERC,,,NE/G017166/1,,,02/12/2014,800.00,,,USD,£611.67,£509.72,£101.95,"£2,329.05",,£0.00,"£2,940.72",CC-BY,Yes,Yes,,,
05/09/2014,Whale,ENV,,,10.5194/amtd-7-9509-2014,Whale,European Geosciences Union,Atmospheric Measurement Techniques,1867-1381,Journal Article/Review (Full OA journal),A technique for quantifying heterogeneous ice nucleation in microlitre supercooled water droplets,17/09/2014,RCUK,,,NERC,,,NE/I013466/1,NE/I020059/1,NE/I019057/1,30/09/2014,812.00,,,EUR,£766.34,£638.62,£127.72,,,£0.00,£766.34,CC-BY,Yes,Yes,,,
08/09/2014,Biller,ENG,,,10.1016/j.algal.2014.09.009,Biller,Elsevier ,Algal Research,2211-9264,Journal Article/Review (Hybrid journal),Pyrolysis GC-MS as a novel analysis technique to determine the biochemical composition of microalgae,01/10/2014,RCUK,,,EPSRC,EPSRC,,EP/F061374/1,EP/L504993/1,,16/12/2014,1826.15,,,EUR,"£1,727.40","£1,439.50",£287.90,,,£0.00,"£1,727.40",CC-BY,Yes,Yes,,,
25/09/2014,Ooi,FBS,,,10.1093/jac/dku409,Ooi,Oxford University Press,Journal of Antimicrobial Chemotherapy,0305-7453,Journal Article/Review (Hybrid journal),Redox-active compounds with a history of human use: antibacterial action and potential for repurposing as antibiofilm agents,03/11/2014,RCUK,,,BBSRC,,,BB/G017158/1,,,26/11/2014,2400.00,,,GBP,"£2,400.00","£2,000.00",£400.00,,,£0.00,"£2,400.00",CC-BY,Yes,Yes,,,
26/09/2014,Arnold,ENV,,,10.5194/acpd-14-24573-2014,Arnold,Copernicus,Atmospheric Chemistry and Physics,1680-7316,Journal Article/ Review (Full OA journal),"Biomass burning
influence on high latitude tropospheric ozone
and reactive nitrogen in summer 2008: a
multi-model analysis based on POLMIP
simulations.",Under Review (2014),RCUK,,,NERC,,,NE/H020241/1,,,14/10/2014,1421.00,,,EUR,"£1,338.67","£1,115.56",£223.11,,,£0.00,"£1,338.67",CC-BY,Yes,Yes,,,
29/09/2014,Clarke,FBS,,,10.1093/nar/gku808,McDowall,Oxford University Press,Nucleic Acids Research,0305-1048,Journal Article/Review (Full OA journal),Direct entry by RNase E is a major pathway for the degradation and processing of RNA in Escherichia coli,18/09/2014,RCUK,,,BBSRC,,,BB/I001751/1 ,,,03/12/2014,2904.00,,,GBP,"£2,904.00","£2,420.00",£484.00,,,£0.00,"£2,904.00",CC-BY,Yes,Yes,,,
14/08/2014,Hardie,MAPS,,,10.1021/ja508502u,Hardie,Journal of the American Chemical Society,American Chemical Society,0002-7863,Journal Article/Review (Hybrid journal),Metallo-cryptophanes decorated with bis-N-heterocyclic carbene ligands: self-assembly and guest up-take into a non-porous crystalline lattice.,03/10/2014,RCUK,,,EPSRC,,,EP/J001325/1 ,,,14/10/2014,4000.00,,,USD,"£3,006.19","£2,505.16",£501.03,,,£0.00,"£3,006.19",CC-BY,Yes,Yes,,,
23/06/2014,Monks,ENV,,,10.5194/acpd-14-25281-2014,Monks,Copernicus,Atmospheric Chemistry and Physics ,1680-7316,Journal Article/Review (Full OA journal),Multi-model study of chemical and physical controls on transport of anthropogenic and biomass burning pollution to the Arctic,Under Review (2014),RCUK,,,NERC,,,NE/H02041/1,,,04/11/2014,1656.00,,,EUR,"£1,567.93","£1,306.61",£261.32,,,£0.00,"£1,567.93",CC-BY,Yes,Yes,,,
08/09/2014,Biller,ENG,,,10.1016/j.biortech.2014.09.132,Biller,Elsevier ,Bioresource Technology,0960-8524,Journal Article/Review (Hybrid journal),Hydrothermal liquefaction of biomass: Developments from batch to continuous process,13/10/2014,RCUK,,,EPSRC,EPSRC,,EP/F061374/1,EP/L504993/1,,11/11/2014,2410.52,,,EUR,"£2,261.80","£1,884.83",£376.97,,,£0.00,"£2,261.80",CC-BY,Yes,Yes,,,
18/09/2014,"Taylor, A.",LUBS,,,10.1016/j.crm.2014.09.001,Taylor,Elsevier ,Climate Risk Management,2212-0963,Journal Article/Review (Full OA journal),Public perception of climate risk and adaptation in the UK: a review of the literature,16/09/2014,RCUK,,,ESRC,,,ES/L00805X/1,,,18/11/2014,657.42,,,EUR,£515.90,£429.92,£85.98,,,£0.00,£515.90,CC-BY,Yes,Yes,,,
04/09/2014,Cunningham,ENG,,,10.1088/0953-8984/26/47/475801,Cunningham,IOP Publishing,Journal of Physics: Condensed Matter,0953-8984,Journal Article/Review (Hybrid journal),Non-universality of scaling exponents in quantum Hall transitions,29/10/2014,RCUK,,,EPSRC,,,EP/F029543/1,,,17/12/2014,2040.00,,,GBP,"£2,040.00","£1,700.00",£340.00,,,£0.00,"£2,040.00",CC-BY,Yes,Yes,,,
 07/10/2014,Randall,FBS,,,10.1093/jac/dku523,Randall,Oxford University Press,Journal of Antimicrobial Chemotherapy,0305-7453,Journal Article/Review (Hybrid journal),Silver resistance in Gram-negative bacteria: a dissection of endogenous and exogenous mechanisms,06/01/2015,RCUK,,,MRC,,,G0900191,,,14/01/2015,2400.00,,,GBP,"£2,400.00","£2,000.00",£400.00,,,£0.00,"£2,400.00",CC-BY,Yes,Yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
