Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
01/08/2015,"Sperrin, Matthew",Faculty of Medical and Human Sciences,,26036702,10.1093/pubmed/fdv067,"Sperrin, Matthew",Oxford University Press,Journal of Public Health,1741-3842,Journal Article/Review (Hybrid journal),Body mass index relates weight to height differently in women and older adults: serial cross-sectional surveys in England (1992-2011).,01/07/2015,RCUK,,,MRC,,,MR/K006665/1,,,11/08/2015," £1,800.00 ",,,GBP,1800,,,,Yes,,1800,CC-BY,Yes,Yes,
17/08/2015,"Budu-Aggrey, Ashley",Medical and Human Sciences,PMC4676906,,10.1093/rheumatology/kev273,"Budu-Aggrey, Ashley",Oxford University Press,Rheumatology,1462-0324,Journal Article/Review (Hybrid journal),Identifying a novel locus for Psoriatic Arthritis,8/8/2015,RCUK,,,MRC,,,,,,29/9/2015," £2,100.00 ",,,GBP,2100,,,,No,,2100,CC-BY,Yes,Yes,
29/01/2016,"Berzuini, Carlo",Faculty of Medical and Human Sciences,,,10.1093/biomet/asv072,"Berzuini, Carlo",Oxford University Press,Biometrika,0006-3444,Journal Article/Review (Hybrid journal),Stochastic Mechanistic Interaction,12/02/2016,RCUK,,,MRC,,,,,,29/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
18/01/2016,"Sinkovics, Rudolf",Faculty of Humanities,,,10.1057/jibs.2016.10,"Sinkovics, Rudolf",Palgrave Macmillan Ltd.,Journal of International Business Studies,0047-2506,Journal Article/Review (Hybrid journal),Trans-specialization understanding in international technology alliances: the influence of cultural distance,10/03/2016,RCUK,,,ESRC,,,ES/J013234/1,,,09/03/2016," £1,920.00 ",,,GBP,1920,,,,No,,1920,CC-BY,Yes,Yes,
17/08/2015,"Lionheart, William",Engineering and Physical Sciences,,,10.1088/0957-0233/26/5/055401,"Lionheart, William",Physics Publishing Ltd.,Measurement Science and Technology,0957-0233,Journal Article/Review (Hybrid journal),High speed imaging of dynamic processes with a switched source x-ray CT system,31/3/2015,RCUK,,,EPSRC,,,EP/E010997/1,,,20/10/2015," £2,040.00 ",,,GBP,2040,,,,No,,2040,CC-BY,Yes,Yes,
07/01/2016,"Lacaud, Georges",Paterson Institute for Cancer Research,PMC4726605,,10.1371/journal.pgen.1005814,"Lacaud, Georges",Public Library of Science,P L o S Genetics (Online),1553-7404,Journal Article/Review (Full OA journal),RUNX1B Expression is Highly Heterogeneous and Distinguishes Megakaryocytic and Erythroid Lineage Fate in Adult Mouse Hematopoiesis,25/01/2016,RCUK,,,BBSRC,,,BB/I001794/1,,,07/01/2016," $2,250.00 ",,,USD,2081,,,,Yes,,2081,CC-BY,Yes,Yes,
08/10/2015,"Withers, Philip",Engineering and Physical Sciences,PMC4569467,,10.1371/journal.pone.0138305,"Withers, Philip",Public Library of Science,P L o S One,1932-6203,Journal Article/Review (Full OA journal),"Geochemical Evidence of the Seasonality, Affinity and Pigmenation of Solenopora jurassica",14/9/2015,RCUK,,,NERC,,,,,,8/10/2015," $1,350.00 ",,,USD,1248.77,,,,Yes,,1248.77,CC-BY,Yes,Yes,
08/10/2015,"Brunton, Lisa",Medical and Human Sciences,PMC4605508,,10.1371/journal.pone.0139561,"Brunton, Lisa",Public Library of Science,P L o S One,1932-6203,Journal Article/Review (Full OA journal),The Contradictions of Telehealth User Experience in Chronic Obstructive Pulmonary Disease (COPD): A Qualitative Meta-Synthesis,14/10/2015,RCUK,,,MRC,,,MR/J006637/1,,,8/10/2015," $1,350.00 ",,,USD,1248.77,,,,Yes,,1248.77,CC-BY,Yes,Yes,
09/10/2015,"Becares, Laia",Humanities,PMC4624767,,10.1371/journal.pone.0141363,"Becares, Laia",Public Library of Science,P L o S One,1932-6203,Journal Article/Review (Full OA journal),"Understanding the Influence of Race/Ethnicity, Gender, and Class on Inequalities in Academic and Non-Academic Outcomes among Eighth-Grade Students: Findings from an Intersectionality Approach",27/10/2015,RCUK,,,ESRC,,,ES/K001582/1,,,9/10/2015," $1,350.00 ",,,USD,1248.77,,,,Yes,,1248.77,CC-BY,Yes,Yes,
10/11/2015,Kevin Couper,Faculty of Life Sciences,PMC4643016,26562533,10.1371/journal.ppat.1005210,Kevin Couper,Public Library of Science,P L o S Pathogens,1553-7374,Journal Article/Review (Full OA journal),Perivascular arrest of CD8+ T cells is a signature of experimental cerebral malaria.,12/11/2015,RCUK,,,BBSRC,MRC,,BB/I020950/2,G0900487/2,,10/11/2015," $2,250.00 ",,,USD,2081,,,,Yes,,2081,CC-BY,Yes,Yes,
25/01/2016,"Lea-Carnall, Caroline",Faculty of Medical and Human Sciences,,,10.1371/journal.pcbi.1004740,"Lea-Carnall, Caroline",Public Library of Science,P L o S Computational Biology,1553-7358,Journal Article/Review (Full OA journal),Cortical resonance frequencies emerge from network size and connectivity,25/02/2016,RCUK,,,EPSRC,,,,,,25/01/2016," $2,250.00 ",,,USD,2081,,,,Yes,,2081,CC-BY,Yes,Yes,
21/01/2016,"Baines, Richard",Faculty of Life Sciences,,,10.1371/journal.pone.0148461,"Baines, Richard",Public Library of Science,P L o S One,1932-6203,Journal Article/Review (Full OA journal),Calcium imaging of neuronal activity in Drosophila can identify anticonvulsive compounds,10/02/2016,RCUK,,,MRC,,,,,,21/01/2016," $1,495.00 ",,,USD,1381.49,,,,Yes,,1381.49,CC-BY,Yes,Yes,
02/02/2016,"Maharani, Asri",Faculty of Humanities,,,10.1371/journal.pone.0148406,"Maharani, Asri",Public Library of Science,P L o S One,1932-6203,Journal Article/Review (Full OA journal),National economic development status may affect the association between central adiposity and cognition in older adults,10/02/2016,RCUK,,,MRC,,,,,,02/02/2016," $1,350.00 ",,,USD,1248.77,,,,Yes,,1248.77,CC-BY,Yes,Yes,
25/01/2016,"Wearden, Alison",Faculty of Medical and Human Sciences,,,10.1371/journal.pone.0144623,"Wearden, Alison",Public Library of Science,P L o S One,1932-6203,Journal Article/Review (Full OA journal),Therapist Effects and the Impact of Early Therapeutic Alliance on Symptomatic Outcome in Chronic Fatigue Syndrome.,14/12/2015,RCUK,,,MRC,,,,,,25/01/2016," $1,350.00 ",,,USD,1248.77,,,,Yes,,1248.77,CC-BY,Yes,Yes,
28/08/2015,"Ellis, David",Engineering and Physical Sciences,,,10.1039/C5AY02048D,"Ellis, David",R S C Publications,Analytical Methods,1759-9660,Journal Article/Review (Hybrid journal),Point-and-shoot: rapid quantitative detection methods for on-site food fraud analysis - moving out of the laboratory and into the food supply chain.,1/9/2015,RCUK,,,BBSRC,,,BB/L014823/1,,,28/8/2015," £3,000.00 ",,,GBP,3000,,,,Yes,,3000,CC-BY,Yes,Yes,
17/09/2015,"Gardiner, John",Engineering and Physical Sciences,PMC4608306,,10.1039/c5cc05222j.,"Gardiner, John",R S C Publications,Chemical Communications,1359-7345,Journal Article/Review (Hybrid journal),Synthetic heparan sulfate dodecasaccharides reveal single sulfation site interconverts CXCL8 and CXCL12 chemokine biology,22/7/2015,RCUK,,,MRC,,,,,,18/9/2015," £1,200.00 ",,,GBP,1200,,,,Yes,,1200,CC-BY,Yes,Yes,
27/08/2015,"Morris, Gareth",Engineering and Physical Sciences,,26343867,10.1039/c5cc06293d.,"Morris, Gareth",R S C Publications,Chemical Communications,1359-7345,Journal Article/Review (Hybrid journal),Measuring Couplings in Crowded NMR Spectra: Pure Shift NMR with Multiplet Analysis,27/8/2015,RCUK,,,EPSRC,,,EP/L018500/1,,,27/8/2015," £1,200.00 ",,,GBP,1200,,,,Yes,,1200,CC-BY,Yes,Yes,
14/01/2016,"Morris, Gareth",Faculty of Engineering and Physical Sciences,,26789115,10.1039/c5cc10206e,"Morris, Gareth",R S C Publications,Chemical Communications,1359-7345,Journal Article/Review (Hybrid journal),Increasing the quantitative bandwidth of NMR measurements,14/01/2016,RCUK,RCUK,,EPSRC,EPSRC,,EP/M013820/1,EP/L018500/1,,14/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
27/10/2015,"Jivkov, Andrey",Engineering and Physical Sciences,,26524292,10.1039/c5cp05243b,"Jivkov, Andrey",R S C Publications,Physical Chemistry Chemical Physics,1463-9076,Journal Article/Review (Hybrid journal),Measurement and modelling of reactive transport in geological barriers for nuclear waste containment,26/10/2015,RCUK,,,EPSRC,,,EP/K016946/1,,,28/10/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
19/10/2015,"Scrutton, Nigel",Life Sciences,,,10.1039/C5CY01642H,"Scrutton, Nigel",R S C Publications,Catalysis Science & Technology,2044-4753,Journal Article/Review (Hybrid journal),"Light-driven biocatalytic reduction of α,β-unsaturated compounds by ene reductases employing transition metal complexes as photosensitizers",21/10/2015,RCUK,,,EPSRC,,,EP/J020192/1,,,20/10/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
17/11/2015,Louise Natrajan,Faculty of Engineering and Physical Sciences,,26289593,10.1039/C5DT01855B,Louise Natrajan,R S C Publications,Dalton Transactions,1477-9226,Journal Article/Review (Hybrid journal),A cyclometallated fluorenyl Ir(III) complex as a potential sensitiser for two-photon excited photodynamic therapy (2PE-PDT),10/8/2015,RCUK,,,EPSRC,,,,,,17/11/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
05/08/2015,"Mills, David",Engineering and Physical Sciences,,26275169,10.1039/C5DT02535D,"Mills, David",R S C Publications,Dalton Transactions,1477-9226,Journal Article/Review (Hybrid journal),Salt metathesis versus protonolysis routes for the synthesis of silylamide Hauser base (R2NMgX; X = halogen) and amido-Grignard (R2NMgR) complexes,5/8/2015,RCUK,,,EPSRC,,,EP/L014416/1,,,10/8/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC BY,Yes,Yes,
06/08/2015,"Coe, Benjamin",Engineering and Physical Sciences,,,10.1039/C5DT02591E,"Coe, Benjamin",R S C Publications,Dalton Transactions,1477-9226,Journal Article/Review (Hybrid journal),Water-soluble Ir(III) complexes of deprotonated N-methylbipyridinium ligands: Fluorine-free blue emitters,6/8/2015,RCUK,,,EPSRC,,,EP/J018635/1,,,16/11/2015," £1,200.00 ",,,GBP,1200,,,,Yes,,1200,CC BY,Yes,Yes,
06/01/2016,"Lewis, David",School of Chemistry,,26732865,10.1039/c5dt03881b,"Lewis, David",R S C Publications,Dalton Transactions,1477-9226,Journal Article/Review (Hybrid journal),Heterocyclic dithiocarbamato-iron(III) complexes: single-source precursors for aerosol-assisted chemical vapour deposition (AACVD) of iron sulfide thin films,18/12/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,06/02/2016," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
07/01/2016,"Mills, David",School of Chemistry,,26758474,10.1039/c5dt04528b,"Mills, David",R S C Publications,Dalton Transactions,1477-9226,Journal Article/Review (Hybrid journal),White phosphorus activation by a Th(III) complex,06/01/2016,RCUK,,,EPSRC,,,EP/L014416/1,,,07/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
12/09/2015,"Szekely, Gyorgy",Engineering and Physical Sciences,,,10.1039/C5GC01937K,"Szekely, Gyorgy",R S C Publications,Green Chemistry,1463-9262,Journal Article/Review (Hybrid journal),Sustainable wastewater treatment and recycle in membrane manufacturing,10/9/2015,RCUK,,,EPSRC,,,EP/K016946/1,,,14/9/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
28/08/2015,"Kell, Douglas",Engineering and Physical Sciences,,26345428,10.1039/c5ib00158g.,"Kell, Douglas",R S C Publications,Integrative Biology Integr Biol (Camb),1757-9694,Journal Article/Review (Hybrid journal),"On the translocation of bacteria and their lipopolysaccharides between blood and peripheral locations in chronic, inflammatory diseases: the central roles of LPS and LPS-induced cell death",1/9/2015,RCUK,,,BBSRC,,,BB/Ll025752/1,,,28/8/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
04/08/2015,"Malik, Mohammad",Engineering and Physical Sciences,,,10.1039/C5NJ01198A,"Malik, Mohammad",R S C Publications,New Journal of Chemistry,1144-0546,Journal Article/Review (Hybrid journal),The AACVD of Cu2FeSn(SxSe1-x)4: potential environmentally benign solar cell materials,1/7/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,4/8/2015, £-   ,,,GBP,0,,,,Yes,,0,CC BY,Yes,Yes,
15/09/2015,"Webb, Simon",Engineering and Physical Sciences,,26360423,10.1039/c5ob01591j.,"Webb, Simon",R S C Publications,Organic & Biomolecular Chemistry,1477-0520,Journal Article/Review (Hybrid journal),A versatile approach towards multivalent saccharide displays on magnetic nanoparticles and phospholipid vesicles,1/9/2015,RCUK,,,EPSRC,,,EP/G03737X/1,,,16/9/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
07/09/2015,"Webb, Simon",Engineering and Physical Sciences,,26327434,10.1039/c5ob01652e.,"Webb, Simon",R S C Publications,Organic & Biomolecular Chemistry,1477-0520,Journal Article/Review (Hybrid journal),Helical peptaibol mimics are better ionophores when racemic than when enantiopure,21/8/2015,RCUK,,,BBSRC,,,BB/I007962/1,,,8/9/2015," £1,200.00 ",,,GBP,1200,,,,Yes,,1200,CC-BY,Yes,Yes,
17/09/2015,"Gardiner, John",Engineering and Physical Sciences,PMC4672752,,10.1039/c5ob01706h,"Gardiner, John",R S C Publications,Organic & Biomolecular Chemistry,1477-0520,Journal Article/Review (Hybrid journal),A latent reactive handle for functionalising heparin-like and LMWH deca- and dodecasaccharides,9/9/2015,RCUK,,,MRC,,,,,,18/9/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
27/10/2015,"Akid, Robert",Engineering and Physical Sciences,,,10.1039/C5RA16494J,"Akid, Robert",R S C Publications,R S C Advances,2046-2069,Journal Article/Review (Hybrid journal),Anticorrosion/antifouling properties of bacterial spore-loaded sol-gel type coating for mild steel in saline marine condition: A case of thermophilic strain of Bacillus licheniformis,26/10/2015,RCUK,,,EPSRC,,,,,,27/10/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
18/09/2015,"Gardiner, John",Engineering and Physical Sciences,,,10.1039/C5SC02091C,"Gardiner, John",R S C Publications,Chemical Science,2041-6520,Journal Article/Review (Hybrid journal),Making the longest sugars: a chemical synthesis of heparin-related [4]n oligosaccharides from 16-mer to 40-mer,24/7/2015,RCUK,,,MRC,,,,,,18/9/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
23/11/2015,Richard Winpenny,Faculty of Engineering and Physical Sciences,,,10.1039/C5SC03111G ,Richard Winpenny,R S C Publications,Chemical Science,2041-6520,Journal Article/Review (Hybrid journal),A Monometallic Lanthanide Bis(methanediide) Single Molecule Magnet with a Large Energy Barrier and Complex Spin Relaxation Behaviour,23/11/2015,RCUK,RCUK,,EPSRC,EPSRC,,EP/J009377/1,EP/l0114416/1,,23/11/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
23/10/2015,"Chen, Mu",Engineering and Physical Sciences,,26347070,10.1039/c5sm01618e,"Chen, Mu",R S C Publications,Soft Matter,1744-683X,Journal Article/Review (Hybrid journal),Photoactive composite films prepared from mixtures of polystyrene microgel dispersions and poly(3-hexylthiophene) solutions,1/9/2015,RCUK,,,EPSRC,,,EP/K009710/1,,,23/10/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
27/11/2015,Brian Saunders,Faculty of Engineering and Physical Sciences,,26610808,10.1039/C5SM02521D,Brian Saunders,R S C Publications,Soft Matter,1744-683X,Journal Article/Review (Hybrid journal),Composite hydrogels of polyacrylamide and crosslinked pH-responsive micrometer-sized hollow particles,20/11/2015,RCUK,,,EPSRC,,,EP/J009490/1,,,27/11/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
3/11/2015,Robert Freer,Faculty of Engineering and Physical Sciences,,,10.1039/C5TC02318A,Robert Freer,R S C Publications,Journal of Materials Chemistry C,2050-7526,Journal Article/Review (Hybrid journal),Crystal Structure and Thermoelectric Properties of Sr - Mo Substituted CaMnO3: A Combined Experimental and Computational Study,30/10/2015,RCUK,,,EPSRC,EPSRC,,EP/I036230/1,,,3/11/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
3/11/2015,Mohammad Malik,Faculty of Engineering and Physical Sciences,,,10.1039/C5TC03275J,Mohammad Malik,R S C Publications,Journal of Materials Chemistry C,2050-7526,Journal Article/Review (Hybrid journal),Transition Metal Doped Pyrite (FeS2) Thin Films: Structural Properties and Evaluation of Optical Band Gap Energies,30/10/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,3/11/2015," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
06/01/2016,"Lewis, David",School of Chemistry,,,10.1039/C5TC03275J,"Lewis, David",R S C Publications,Journal of Materials Chemistry C,2050-7526,Journal Article/Review (Hybrid journal),Transition metal doped pyrite (FeS2) thin films: structural properties and evaluation of optical band gap energies,30/10/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,06/02/2016," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
25/01/2016,"Popelier, Paul",Faculty of Engineering and Physical Sciences,,,10.1039/C5CP07021J,"Popelier, Paul",R S C Publications,Physical Chemistry Chemical Physics,1463-9076,Journal Article/Review (Hybrid journal),Extension of the interacting quantum atoms (IQA) approach to B3LYP level density functional theory (DFT),25/01/2016,RCUK,,,EPSRC,,,,,,25/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
29/01/2016,"Schroder, Martin",Faculty of Engineering and Physical Sciences,,,10.1039/C5CP05426E,"Schroder, Martin",R S C Publications,Physical Chemistry Chemical Physics P C C P,1463-9076,Journal Article/Review (Hybrid journal),Understanding the Electromagnetic Interaction of Metal Organic Framework Reactants in Aqueous Solution at Microwave Frequencies,29/01/2016,RCUK,,,EPSRC,,,,,,29/01/2016," £1,920.00 ",,,GBP,1920,,,,Yes,,1920,CC-BY,Yes,Yes,
7/11/2015,Peter Cave,Faculty of Humanities,,,10.1080/09555803.2015.1077875,Peter Cave,Routledge,Japan Forum,0955-5803,Journal Article/Review (Hybrid journal),"Story, song, and ceremony: shaping dispositions in Japanese elementary schools during Taisho and early Showa",15/9/2015,RCUK,,,AHRC,,,AH/J004618/1,,,12/1/2015, £536.40 ,,,GBP,536.4,,,,Yes,,536.4,CC-BY,Yes,Yes,
6/11/2015,David I. Ellis,Faculty of Engineering and Physical Sciences,,26523729,10.1039/C5AN01945A,David I. Ellis,Royal Society of Chemistry,The Analyst,0003-2654,Journal Article/Review (Hybrid journal),"Chicken, beams, and Campylobacter: rapid differentiation of foodborne bacteria via vibrational spectroscopy and MALDI-mass spectrometry",26/10/2015,RCUK,,,BBSRC,,,BB/L014823/1,,,6/11/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
01/09/2015,"Lessard-Phillips, Laurence",Humanities,,,10.1177/0038038515609030,"Lessard-Phillips, Laurence",Sage,Sociology,0038-0385,Journal Article/Review (Hybrid journal),Exploring the Dimensionality of Ethnic Minority Adaptation in Britain: An Analysis across Ethnic and Generational Lines,24/11/2015,RCUK,,,ESRC,,,ES/K009206/1,,,27/10/2015, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
17/08/2015,"Garcia Deister, Vivette",Humanities,,,10.1177/0306312715608449,"Garcia Deister, Vivette",Sage,Social Studies of Science,0306-3127,Journal Article/Review (Hybrid journal),"Pais de Gordos/Pais de Muertos: Obesity, Death and Nation in Biomedical and Forensic Genetics in Mexico",26/11/2015,RCUK,,,ESRC,,,,,,27/10/2015, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
17/08/2015,"Wade, Peter",Humanities,,,10.1177/0306312715610217,"Wade, Peter",Sage,Social Studies of Science,0306-3127,Journal Article/Review (Hybrid journal),"Genetics against race: science, politics and affirmative action in Brazil",21/10/2015,RCUK,,,ESRC,,,RES-062-23-1914,,,27/10/2015, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
17/08/2015,"Wade, Peter",Humanities,,,10.1177/0306312715611262,"Wade, Peter",Sage,Social Studies of Science,0306-3127,Journal Article/Review (Hybrid journal),Building the Genomic Nation: Homo Brasilis and the Genoma Mexicano in Comparative Cultural Perspective,20/11/2015,RCUK,,,ESRC,,,RES-062-23-1914,,,27/10/2015, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
17/08/2015,"Wade, Peter",Humanities,,,10.1177/0306312715621182,"Wade, Peter",Sage,Social Studies of Science,0306-3127,Journal Article/Review (Hybrid journal),"Explaining the visible and the invisible: public knowledge of genetics, ancestry, physical appearance and race in Colombia",Dec-15,RCUK,,,ESRC,,,RES-062-23-1914,,,15/12/2015, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
18/11/2015,"Byrne, Bridget",Faculty of Humanities,,,10.1177/0038038515622908,"Byrne, Bridget",Sage Publications,Sociology,0038-0385,Journal Article/Review (Hybrid journal),Testing times: the place of the citizenship test in the UK immigration regime and new citizens’ responses to it,02/02/2016,RCUK,,,ESRC,,,,,,23/02/2016, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
28/11/2015,Peter Wade,Faculty of Humanities,,,10.1177/0306312715623108,Peter Wade,Sage Publications,Social Studies of Science,0306-3127,Journal Article/Review (Hybrid journal),"Genomic research, publics and experts in Latin America: Nation, race and body",Dec 2015,RCUK,,,ESRC,,,RES-062-23-1914,,,5/1/2016, £240.00 ,,,GBP,240,,,,Yes,,240,CC-BY,Yes,Yes,
12/08/2015,"Higham, Nicholas",Engineering and Physical Sciences,,,10.1137/140996112,"Higham, Nicholas",Society for Industrial and Applied Mathematics,S I A M Review,0036-1445,Journal Article/Review (Hybrid journal),"Restoring definiteness via shrinking, with an application to correlation matrices with a fixed block",5/5/2016,RCUK,,,EPSRC,,,EP/I03112X/1,,,1/9/2015," $2,500.00 ",,,USD,1918.29,,,,No,,1918.29,CC-BY,Yes,Yes,
05/01/2016,"Tisseur, Francoise",School of Mathematics,,,10.1137/15M1014887,"Tisseur, Francoise",Society for Industrial and Applied Mathematics,S I A M Journal on Scientific Computing S I S C,1064-8275,Journal Article/Review (Hybrid journal),Efficient block preconditioning for a C1 finite element discretisation of the Dirichlet biharmonic problem,28/01/2016,RCUK,,,EPSRC,,,EP/I005293/1,,,02/02/2016," $2,500.00 ",,,USD,2011.91,,,,No,,2011.91,CC-BY,Yes,Yes,
10/12/2015,"Lambon Ralph, Matthew",School of Psychological Sciences,PMC4737765,,10.1523/JNEUROSCI.2999-15.2016,"Lambon Ralph, Matthew",Society for Neuroscience,The Journal of Neuroscience,0270-6474,Journal Article/Review (Hybrid journal),The semantic network at work and rest: Differential connectivity of anterior temporal lobe subregions,3/2/2016,RCUK,,,MRC,,,MR/J004146/1,,,04/01/2016," $2,820.00 ",,,USD,2246.93,,,,No,,2246.93,CC-BY,Yes,Yes,
27/01/2016,"Swainston, Neil",Faculty of Life Sciences,,,10.1186/s13321-016-0123-9,"Swainston, Neil",Springer,Journal of Cheminformatics,1758-2946,Journal Article/Review (Full OA journal),libChEBI an API for accessing the ChEBI database,01/03/2016,RCUK,,,BBSRC,,,,,,22/03/2016," £1,233.00 ",,,GBP,1233,,,,No,,1233,CC-BY,Yes,Yes,
10/11/2015,Omer Edhan Idan,Faculty of Humanities,,,10.1007/s00182-015-0516-4,Omer Edhan Idan,Springer,International Journal of Game Theory,0020-7276,Journal Article/Review (Hybrid journal),Values of vector measure market games and their representations,23/11/2015,Other,,,Other,,,,,,10/11/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
17/08/2015,"Taslaman, Leo",Humanities,,,10.1007/s00211-015-0759-9,"Taslaman, Leo",Springer,Numerische Mathematik,0029-599X,Journal Article/Review (Hybrid journal),Backward error analysis of the shift-and-invert Arnoldi algorithm,30/7/2015,RCUK,,,EPSRC,,,EP/I005293/1,,,1/9/2015," € 2,200.00 ",,,EUR,1873.68,,,,No,,1873.68,CC-BY,Yes,Yes,
07/10/2015,"Popelier, Paul",Engineering and Physical Sciences,,,10.1007/s00214-015-1739-y,"Popelier, Paul",Springer,Theoretical Chemistry Accounts,1432-881X,Journal Article/Review (Hybrid journal),Transferable kriging machine learning models for the multipolar electrostatics of helical deca-alanine,21/9/2015,RCUK,,,EPSRC,,,EP/K005472/1,,,23/11/2015," € 2,200.00 ",,,EUR,1952.11,,,,No,,1952.11,CC-BY,Yes,Yes,
28/08/2015,"Goodacre, Roy",Engineering and Physical Sciences,PMC4604501,,10.1007/s00216-015-9004-8,"Goodacre, Roy",Springer,Analytical and Bioanalytical Chemistry,1618-2642,Journal Article/Review (Hybrid journal),Simultaneous multiplexed quantification of caffeine and its major metabolites theobromine and paraxanthine using surface enhanced Raman scattering,25/8/2015,RCUK,,,BBSRC,,,BB/L014823/1,,,07/12/2015," € 2,200.00 ",,,EUR,1899.53,,,,No,,1899.53,CC-BY,Yes,Yes,
10/11/2015,John Chinn,Faculty of Engineering and Physical Sciences,,,10.1007/s00231-015-1706-0,John Chinn,Springer,Heat and Mass Transfer,0947-7411,Journal Article/Review (Hybrid journal),Stationary rotary force waves on the liquid–air core interface of a swirl atomizer,25/11/2015,Other,,,Other,,,,,,10/11/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
13/01/2016,"Salama, Adel",Faculty of Engineering and Physical Sciences,,,10.1007/s00339-016-9607-8,"Salama, Adel",Springer,Applied Physics A,0947-8396,Journal Article/Review (Hybrid journal),High power picosecond laser drilling/machining of carbon fibre reinforced polymer (CFRP) composites,22/01/2016,Other,,,Other,,,,,,13/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
30/11/2015,Rachel Lennon,Faculty of Medical and Human Sciences,,26556028,10.1007/s00467-015-3241-0,Rachel Lennon,Springer,Pediatric Nephrology,0931-041X,Journal Article/Review (Hybrid journal),The non-immunosuppressive management of childhood nephrotic syndrome,10/11/2015,RCUK,,,BBSRC,,,BB/FOF/303,,,30/11/2015," £1,857.30 ",,,GBP,1857.3,,,,Yes,,1857.3,CC-BY,Yes,Yes,
01/08/2015,"Ufuk, Ayse",Faculty of Medical and Human Sciences,PMC4628094,,10.1007/s11095-015-1753-8,"Ufuk, Ayse",Springer,Pharmaceutical Research Pharm Res,0724-8741,Journal Article/Review (Hybrid journal),In vitro assessment of uptake and lysosomal sequestration of respiratory drugs in alveolar macrophage cell line NR8383,07/07/2015,RCUK,,,BBSRC,,,BB/1532488/1,,,01/09/2015," € 2,200.00 ",,,EUR,1852.46,,,,No,,1852.46,CC-BY,Yes,Yes,
